Name,Color,Parent,Start,Stop,Description,Namechange1,When1,Description1,Namechange2,When2,Description2,Namechange3,When3,Description3
ASP,#8888dd,Red Hat,2001.3.22,2008.11.26,www.asplinux.ru/,,,,,,,,,
Aurora,#ffa51e,Red Hat,2001.11.5,2009.11.8,http://auroralinux.org/,,,,,,,,,
SuperRescue,#4ba284,Red Hat,2001.5.1,2003,http://www.kernel.org/pub/dist/superrescue/,,,,,,,,,
Independence,#993333,Red Hat,2001.6,2008,http://independence.seul.org/,,,,,,,,,
HP Secure,#0d56ce,Red Hat,2001.7.26,2002.10.15,http://www.hp.com/security/products/linux/,,,,,,,,,
K12,#5ac8f0,Red Hat,2001.7,,http://k12linux.org/,,,,,,,,,
Haydar,#d9a020,Red Hat,2002.1.26,2003.4.6,http://www.haydarlinux.com/,,,,,,,,,
Bayanihan,#2a5dd5,Red Hat,2002.6.20,,http://www.bayanihan.gov.ph/,,,,,,,,,
Aurox,#6fd96a,Red Hat,2002.11.13,2006.10.30,http://www.aurox.org/,,,,,,,,,
BLAG,#000,Red Hat,2002.10.22,,http://www.blagblagblag.org/,,,,,,,,,
LinuxInstall,#fdbf44,Red Hat,2003.1.7,2003.7.21,http://linuxinstall.org/,,,,,,,,,
Berry,#ffc300,Red Hat,2003.4.13,,http://berry.sourceforge.jp/,,,,,,,,,
AnNyung,#4c4c4c,Red Hat,2003.6.14,,http://annyung.oops.org/,,,,,,,,,
ATmission,#a6865f,Red Hat,2003.8.23,2005.9.26,http://www.atconsultancy.nl/atmission/,,,,,,,,,
Fedora Core,#362e94,Red Hat,2003.11.6,,http://fedoraproject.org/,Fedora,2007.5.31,http://fedoraproject.org/,,,,,,
NST,#000,Fedora Core,2003.12,,http://www.networksecuritytoolkit.org/,,,,,,,,,
Momonga,#832519,Fedora Core,2004.8.6,,http://www.momonga-linux.org/,,,,,,,,,
MythDora,#3399cc,Fedora Core,2005.6,,http://mythdora.com/,,,,,,,,,
AsianLinux,#00e3d4,Fedora Core,2005.7.2,2007.4.29,http://www.asianlinux.net/,,,,,,,,,
FoX,#f4a651,Fedora Core,2004.10,2006.4,http://distrowatch.com/table.php?distribution=fox,,,,,,,,,
Ekaaty,#3f7857,Fedora Core,2006.8.15,,http://www.ekaaty.org/,,,,,,,,,
Amahi,#99aa88,Fedora Core,2007,,http://www.amahi.org/,,,,,,,,,
Vixta,#82c846,Fedora Core,2007.9.20,,http://xange.serdigital.com/,Simplis,2008.6,http://xange.serdigital.com/,Xange,2009.1.7,http://xange.serdigital.com/,,,
Ojuba,#437644,Fedora Core,2008.8.7,,http://www.ojuba.org/,,,,,,,,,
Moblin 2,#3366bb,Fedora Core,2008.8.19,2010.5.26,http://moblin.org/,,,,,,,,,
MeeGo,#4e2174,Moblin 2,2010.5.26,,http://meego.com/,,,,,,,,,
Mer,#002bb8,MeeGo,2011.10.3,,http://merproject.org/,,,,,,,,,
Tizen,#555,MeeGo,2012.1.5,,http://www.tizen.org/,,,,,,,,,
VortexBox,#d92727,Fedora Core,2008.11.28,,http://vortexbox.org/,,,,,,,,,
Hanthana,#3366a9,Fedora Core,2009.11.17,,http://www.hanthana.org/,,,,,,,,,
Synergy,#1aa800,Fedora Core,2010.6.15,,http://synergy-linux.com/,,,,,,,,,
Fusion,#0060ff,Fedora Core,2010.10.14,,http://fusionlinux.org/,,,,,,,,,
Fuduntu,#4aa02c,Fedora Core,2010.11.7,,http://sourceforge.net/projects/fuduntu/,,,,,,,,,
Parsidora,#027ac6,Fedora Core,2010.12.28,,http://parsidora.org/,,,,,,,,,
Viperr,#1e1e1e,Fedora Core,2011.12.13,,,,,,,,,,,
PUIAS,#b00,Red Hat,2003.12,,,,,,,,,,,
CentOS,#6f4376,Red Hat,2003.12.1,,http://centos.org/,,,,,,,,,
Asterisk@Home,#599116,CentOS,2004.11.9,,http://www.trixbox.org/,trixbox,2006.6,http://www.trixbox.org/,,,,,,
Elastix,#df1f29,CentOS,2006.12.29,,http://www.elastix.org/,,,,,,,,,
BlueOnyx,#0e264c,CentOS,2008.12.31,,http://www.blueonyx.it/,,,,,,,,,
OpenNode,#004d99,CentOS,2010.2.21,,http://opennodecloud.com/,,,,,,,,,
White Box,#737373,Red Hat,2003.12.17,2009.8,http://www.whiteboxlinux.org/,,,,,,,,,
Tao,#56c1ff,Red Hat,2004.12.4,2006.6.14,http://ftp.riken.go.jp/pub/Linux/tao/tao-1.0-s390x/dist/,,,,,,,,,
BioBrew,#21896c,Red Hat,2004.1.20,2005.2.23,http://biobrew.bioinformatics.org/,,,,,,,,,
CERN,#4078c3,Red Hat,2004.4.16,,http://linux.web.cern.ch/linux/,,,,,,,,,
Scientific,#191756,Red Hat,2004.5.10,,https://www.scientificlinux.org/,,,,,,,,,
StartCom,#000,Red Hat,2004.8.26,,http://www.startcom.org/,,,,,,,,,
Oracle Enterprise,#f00,Red Hat,2006.10.25,,http://www.oracle.com/us/technologies/linux/index.htm,,,,,,,,,
FrameOS,#000,Red Hat,2010.7.15,,http://www.frameos.org/,,,,,,,,,
ServOS,#4b78a7,Red Hat,2011.7,,http://www.serv-os.net/,,,,,,,,,
